combination,K,silhouette_score
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,20,0.2167912870645523
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,21,0.22367875277996063
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,22,0.232626810669899
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,23,0.2470705658197403
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,24,0.24512265622615814
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,25,0.23581789433956146
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,26,0.2467743307352066
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,27,0.23556934297084808
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,28,0.25388699769973755
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,29,0.2586391568183899
Breast_invasive_carcinoma-Colon_adenocarcinoma-Asterand-University of Pittsburgh,30,0.2617361843585968
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,2,0.21772800385951996
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,3,0.17439579963684082
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,4,0.18414340913295746
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,5,0.18245506286621094
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,6,0.19667182862758636
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,7,0.1956019550561905
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,8,0.18475545942783356
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,9,0.20796725153923035
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,10,0.1992008239030838
Breast_invasive_carcinoma-Colon_adenocarcinoma-Christiana Healthcare-Roswell Park,11,0.18036308884620667
